Project ID,Use Case Quality Score,Defect Count,Project Duration (months),Client Satisfaction,Remarks
P0590,85,,10,low,good but unclear alt flows
P0591,N/A,12,N/A,LOW ,UC not reviewed
P0592,90%,,14,,
P0593,sixty,5 defects,14,High,
P0594, 70,zero,10,Medium ,Well defined use cases
P0595,85,eight,14,Medium , some missing flows
P0596,90%,5 defects,10,HIGH,Well defined use cases
P0597,,,9,,"Incomplete UC, rework happened"
P0598,,,12months,LOW ,Well defined use cases
P0599,85,, eleven,, Excellent documentation 
P0600,N/A,12,14,LOW ,poorly written
P0601, 70,, eleven,HIGH,good but unclear alt flows
P0602,,5 defects,8 m,Medium ,UC not reviewed
P0603,90%,,14,low, some missing flows
P0604,,,14,,poorly written
P0605, 70,5 defects,12months,LOW ,Well defined use cases
P0606,N/A,5 defects,10,HIGH,poorly written
P0607,,zero,12months,low, some missing flows
P0608,sixty,20,10,Medium ,"Incomplete UC, rework happened"
P0609, 45%,20,N/A,,UC not reviewed
P0610,sixty,,N/A,low,poorly written
P0611,,5 defects, eleven,,Well defined use cases
P0612,90%,20,8 m,Medium ,poorly written
P0613, 70,20,,,"Incomplete UC, rework happened"
P0614,,20,8 m,Medium ,Well defined use cases
P0615,85,20,8 m,Medium ,UC not reviewed
P0616,N/A,5 defects,N/A,HIGH,good but unclear alt flows
P0617,90%,zero,9,HIGH,UC not reviewed
P0618, 70,eight,10,High, Excellent documentation 
P0619,100 ,12,,HIGH, Excellent documentation 
P0620,90%,eight,8 m,low,UC not reviewed
P0621,100 ,zero,10,, Excellent documentation 
P0622,100 ,20,14,Medium , some missing flows
P0623,85,,9,Medium ,UC not reviewed
P0624,,zero,8 m,High,
P0625,,5 defects,10,HIGH,poorly written
P0626,90%,20, eleven,Medium ,poorly written
P0627,sixty,eight,14,HIGH, some missing flows
P0628, 45%,15 ,8 m,HIGH, some missing flows
P0629,90%,zero,14,low,UC not reviewed
P0630,sixty,20, eleven,low,
P0631,,zero,8 m,HIGH,UC not reviewed
P0632,90%,12, eleven,low,"Incomplete UC, rework happened"
P0633,90%,5 defects,14,low,
P0634,,zero,14,HIGH, some missing flows
P0635,,,12months,Medium ,"Incomplete UC, rework happened"
P0636,90%,12,10,High,Well defined use cases
P0637, 45%,5 defects,9,HIGH,
P0638,,,,LOW ,UC not reviewed
P0639,85,zero,8 m,Medium , Excellent documentation 
P0640,,,10,, some missing flows
P0641,,12,,High,"Incomplete UC, rework happened"
P0642,100 ,,12months,HIGH, some missing flows
P0643,85,eight,12months,LOW ,Well defined use cases
P0644,100 ,20,N/A,LOW ,poorly written
P0645,,20,10,HIGH,
P0646,,,12months,low,
P0647,90%,zero,9,LOW ,
P0648,,eight,,Medium ,UC not reviewed
P0649,sixty,12,10,,good but unclear alt flows
P0650,,5 defects, eleven,LOW ,
P0651, 70,,8 m,low,UC not reviewed
P0652,sixty,zero,9,High,UC not reviewed
P0653,N/A,15 ,10,low, Excellent documentation 
P0654,sixty,,8 m,High, Excellent documentation 
P0655,100 ,eight,9,LOW , some missing flows
P0656, 70,20, eleven,LOW ,poorly written
P0657, 70,5 defects,10,HIGH, Excellent documentation 
P0658,90%,5 defects,14,High, Excellent documentation 
P0659, 45%,5 defects,8 m,HIGH, Excellent documentation 
P0660,,zero,14,LOW ,UC not reviewed
P0661,N/A,15 ,9,High,good but unclear alt flows
P0662,100 ,15 ,8 m,Medium , some missing flows
P0663,,5 defects,9,LOW ,Well defined use cases
P0664,100 ,,10,HIGH,Well defined use cases
P0665,100 ,12,9,High,poorly written
P0666,sixty,15 ,10,low,"Incomplete UC, rework happened"
P0667, 70,5 defects,8 m,Medium ,UC not reviewed
P0668, 70,5 defects,N/A,,poorly written
P0669, 45%,zero,10,low, Excellent documentation 
P0670,90%,12,,LOW , some missing flows
P0671, 45%,eight,,LOW ,Well defined use cases
P0672,,12,8 m,HIGH,"Incomplete UC, rework happened"
P0673,100 ,5 defects,,LOW ,"Incomplete UC, rework happened"
P0674,,,9,, some missing flows
P0675,N/A,20,14,low,good but unclear alt flows
P0676,,,9,low,Well defined use cases
P0677,N/A,eight, eleven,High,
P0678,sixty,15 ,9,HIGH, some missing flows
P0679,90%,eight,9,High,Well defined use cases
P0680,,zero,10,High,UC not reviewed
P0681,sixty,15 , eleven,Medium ,poorly written
P0682,85,5 defects,14,LOW ,good but unclear alt flows
P0683,,5 defects,8 m,, Excellent documentation 
P0684,90%,zero,,High, Excellent documentation 
P0685, 70,15 ,14,LOW ,UC not reviewed
P0686,90%,,9,LOW , some missing flows
P0687, 70,,N/A,High,"Incomplete UC, rework happened"
P0688,N/A,eight, eleven,LOW ,Well defined use cases
P0689,,,8 m,,Well defined use cases
P0690,90%,15 ,10,Medium ,"Incomplete UC, rework happened"
P0691,,20,12months,low, Excellent documentation 
P0692,100 ,5 defects,,low,poorly written
P0693,90%,,12months,low,UC not reviewed
P0694,,,N/A,low, some missing flows
P0695,,, eleven,High,good but unclear alt flows
P0696,90%,20,N/A,HIGH,Well defined use cases
P0697,,zero,8 m,LOW , Excellent documentation 
P0698,85,zero,12months,LOW ,UC not reviewed
P0699, 45%,zero,8 m,, Excellent documentation 
P0700,90%,zero,10,LOW ,good but unclear alt flows
P0701,,eight,N/A,LOW ,
P0702,N/A,eight,10,HIGH,good but unclear alt flows
P0703,90%,5 defects, eleven,Medium ,poorly written
P0704, 45%,,12months,, some missing flows
P0705, 45%,15 ,10,Medium ,good but unclear alt flows
P0706,,,N/A,High, Excellent documentation 
P0707,sixty,12,14,High,
P0708,N/A,,N/A,LOW ,poorly written
P0709,,5 defects,,Medium , Excellent documentation 
P0710,,,12months,Medium ,poorly written
P0711,,zero,12months,LOW ,"Incomplete UC, rework happened"
P0712,N/A,eight,12months,HIGH, some missing flows
P0713,N/A,,12months,Medium ,poorly written
P0714, 70,12,9,, Excellent documentation 
P0715,,12,14,low,UC not reviewed
P0716,,zero,14,,Well defined use cases
P0717, 45%,5 defects,,LOW ,Well defined use cases
P0718,90%,20,N/A,low,UC not reviewed
P0719,,15 ,14,LOW ,poorly written
P0720, 45%,20,9,HIGH,UC not reviewed
P0721, 45%,,N/A,,
P0722,100 ,eight,,High,Well defined use cases
P0723,,eight,8 m,low,UC not reviewed
P0724, 45%,zero,8 m,High,UC not reviewed
P0725,85,,N/A,High,UC not reviewed
P0726,100 ,eight,12months,LOW ,Well defined use cases
P0727,90%,eight,N/A,HIGH,Well defined use cases
P0728,85,5 defects,N/A,,poorly written
P0729,,20,14,High,
P0730,sixty,15 ,10,Medium ,UC not reviewed
P0731,,,N/A,HIGH,poorly written
P0732,85,12,8 m,low,"Incomplete UC, rework happened"
P0733,90%,15 ,10,LOW ,good but unclear alt flows
P0734, 45%,5 defects, eleven,LOW ,good but unclear alt flows
P0735,85,15 ,14,HIGH,good but unclear alt flows
P0736,85,5 defects,8 m,HIGH, some missing flows
P0737,sixty,5 defects,9,Medium ,good but unclear alt flows
P0738,,,12months,Medium ,
P0739,,,10,Medium ,"Incomplete UC, rework happened"
P0740, 45%,20,10,High, some missing flows
P0741,,12,12months,HIGH,
P0742, 45%,, eleven,HIGH, Excellent documentation 
P0743,85,15 ,9,low,
P0744,,,14,Medium ,poorly written
P0745,85,15 ,8 m,low,
P0746,sixty,,8 m,High,"Incomplete UC, rework happened"
P0747, 70,,12months,High,good but unclear alt flows
P0748,85,eight,12months,, Excellent documentation 
P0749,,,,low, Excellent documentation 
P0750,,eight,9,,"Incomplete UC, rework happened"
P0751, 70,12, eleven,HIGH,UC not reviewed
P0752,,eight,10,High,Well defined use cases
P0753,85,12,14,High,UC not reviewed
P0754,85,,8 m,low,
P0755,,12, eleven,,
P0756,85,,14,, Excellent documentation 
P0757,,5 defects,12months,HIGH,poorly written
P0758, 45%,5 defects,9,LOW ,
P0759, 45%,zero,12months,Medium , some missing flows
P0760,N/A,zero, eleven,HIGH, Excellent documentation 
P0761, 70,20,,Medium , Excellent documentation 
P0762,90%,15 , eleven,low,UC not reviewed
P0763,,eight,N/A,,poorly written
P0764,,eight,14,Medium , Excellent documentation 
P0765,85,eight,,HIGH,Well defined use cases
P0766, 70,,14,low,good but unclear alt flows
P0767,90%,zero,,High,Well defined use cases
P0768, 70,20,,High,Well defined use cases
P0769, 45%,20,9,Medium ,
P0770,sixty,,14,HIGH,good but unclear alt flows
P0771,,zero,,low,Well defined use cases
P0772,90%,,8 m,Medium , some missing flows
P0773,90%,12,12months,High, some missing flows
P0774,N/A,12,,High,
P0775,sixty,eight,9,High, Excellent documentation 
P0776, 45%,eight, eleven,HIGH,UC not reviewed
P0777,90%,12,8 m,High,Well defined use cases
P0778,90%,zero,14,HIGH,Well defined use cases
P0779,,15 ,,HIGH, Excellent documentation 
P0780, 70,,10,High,poorly written
P0781, 45%,5 defects,N/A,LOW ,good but unclear alt flows
P0782, 45%,,N/A,High,UC not reviewed
P0783,sixty,,9,HIGH,UC not reviewed
P0784,N/A,zero,,low,good but unclear alt flows
P0785, 70,,,,poorly written
P0786,100 ,15 ,9,HIGH,UC not reviewed
P0787,,20,8 m,LOW ,Well defined use cases
P0788,90%,,,Medium , Excellent documentation 
P0789,100 ,20,9,LOW ,
P0790,100 ,15 ,8 m,High,"Incomplete UC, rework happened"
P0791, 70,eight,9,High,"Incomplete UC, rework happened"
P0792, 45%,5 defects,9,High,
P0793,100 ,5 defects,14,Medium ,"Incomplete UC, rework happened"
P0794,85,,14,, some missing flows
P0795, 70,20,8 m,High,
P0796, 70,zero,10,LOW ,
P0797,85,12,10,low,UC not reviewed
P0798,,eight,12months,LOW ,poorly written
P0799,sixty,20,8 m,Medium ,Well defined use cases
P0800,,,12months,HIGH,good but unclear alt flows
P0801, 70,,14,HIGH,UC not reviewed
P0802,,eight, eleven,, some missing flows
P0803,N/A,20,9,HIGH, Excellent documentation 
P0804,N/A,zero,9,High, some missing flows
P0805,90%,20,8 m,,UC not reviewed
P0806,,,12months,Medium ,
P0807,,eight,,LOW , some missing flows
P0808,90%,5 defects,N/A,Medium ,"Incomplete UC, rework happened"
P0809,90%,,N/A,HIGH,UC not reviewed
P0810,,,9,Medium ,UC not reviewed
P0811,,zero, eleven,Medium , Excellent documentation 
P0812,100 ,5 defects,10,HIGH,poorly written
P0813,,,14,Medium ,poorly written
P0814, 45%,,8 m,LOW , some missing flows
P0815,100 ,15 ,10,low,poorly written
P0816,85,15 ,N/A,HIGH, some missing flows
P0817,,eight, eleven,,Well defined use cases
P0818, 70,zero,,HIGH, Excellent documentation 
P0819, 45%,20,N/A,LOW ,good but unclear alt flows
P0820,N/A,15 ,14,High,poorly written
P0821, 70,20, eleven,Medium ,
P0822,N/A,15 , eleven,High,
P0823,,12,,Medium ,
P0824,,eight,12months,,Well defined use cases
P0825, 45%,eight,,LOW , Excellent documentation 
P0826,,5 defects,9,low, Excellent documentation 
P0827,,eight,10,HIGH, some missing flows
P0828,,eight,9,HIGH,good but unclear alt flows
P0829,,12,12months,HIGH,poorly written
P0830,90%,,8 m,LOW ,Well defined use cases
P0831,100 ,,10,High,poorly written
P0832,,eight, eleven,HIGH, some missing flows
P0833,100 ,5 defects,8 m,HIGH,Well defined use cases
P0834,100 ,,12months,HIGH,poorly written
P0835,N/A,12,,LOW , Excellent documentation 
P0836,85,15 , eleven,low,poorly written
P0837,100 ,,10,HIGH,"Incomplete UC, rework happened"
P0838,90%,eight,N/A,High,"Incomplete UC, rework happened"
P0839,,zero,N/A,LOW ,Well defined use cases
P0840, 70,,12months,low,
P0841,sixty,15 ,N/A,Medium ,good but unclear alt flows
P0842, 70,12,N/A,,good but unclear alt flows
P0843,sixty,15 ,N/A,, Excellent documentation 
P0844,N/A,5 defects, eleven,low, Excellent documentation 
P0845,,15 ,N/A,low,poorly written
P0846,,zero,,High,"Incomplete UC, rework happened"
P0847,90%,,12months,Medium , some missing flows
P0848,sixty,20,,Medium , some missing flows
P0849,100 ,15 ,8 m,,good but unclear alt flows
P0850,,12,,High,good but unclear alt flows
P0851, 70,15 , eleven,High,good but unclear alt flows
P0852,100 ,zero, eleven,,poorly written
P0853,,5 defects, eleven,Medium , some missing flows
P0854,100 ,,12months,Medium , Excellent documentation 
P0855,N/A,,10,High,
P0856,,eight,14,,Well defined use cases
P0857,N/A,eight,10,High, Excellent documentation 
P0858,sixty,15 ,N/A,LOW ,poorly written
P0859, 45%,,10,low,UC not reviewed
P0860,85,12,12months,HIGH,good but unclear alt flows
P0861, 70,15 ,8 m,low, some missing flows
P0862,90%,20,12months,High, Excellent documentation 
P0863,100 ,20,,HIGH,
P0864,N/A,,14,HIGH, Excellent documentation 
P0865, 70,20,9,LOW ,poorly written
P0866,,12,8 m,,"Incomplete UC, rework happened"
P0867,N/A,5 defects,,,Well defined use cases
P0868, 70,,12months,LOW , some missing flows
P0869, 70,20,14,HIGH,
P0870,,eight,14,Medium ,good but unclear alt flows
P0871,,eight, eleven,low,poorly written
P0872, 45%,5 defects,N/A,,"Incomplete UC, rework happened"
P0873,,12,N/A,HIGH,"Incomplete UC, rework happened"
P0874, 70,,N/A,low, some missing flows
P0875,85,20, eleven,Medium ,poorly written
P0876,90%,5 defects,N/A,High,
P0877,N/A,,N/A,LOW ,Well defined use cases
P0878,90%,zero,12months,High,Well defined use cases
P0879,sixty,15 ,8 m,HIGH, Excellent documentation 
P0880,sixty,12,9,, Excellent documentation 
P0881, 70,eight,14,, some missing flows
P0882,sixty,,9,HIGH,poorly written
P0883,N/A,12, eleven,High,Well defined use cases
P0884,N/A,zero,,HIGH,poorly written
P0885, 45%,,12months,, Excellent documentation 
P0886, 45%,5 defects,9,, some missing flows
P0887, 70,20,N/A,low,good but unclear alt flows
P0888,sixty,20,10,High,UC not reviewed
P0889, 45%,5 defects,9,High,UC not reviewed
P0890,85,15 ,N/A,,poorly written
P0891,,12, eleven,LOW ,UC not reviewed
P0892,,12,9,, Excellent documentation 
P0893,100 ,5 defects, eleven,Medium ,
P0894,N/A,20,9,LOW ,good but unclear alt flows
P0895,,zero,14,LOW ,Well defined use cases
P0896,85,zero,12months,HIGH,poorly written
P0897,,,9,,poorly written
P0898,85,,10,Medium , some missing flows
P0899,100 ,,9,High,Well defined use cases
P0900,,,9,High, some missing flows
P0901,,12,12months,low,poorly written
P0902, 45%,5 defects,N/A,HIGH,poorly written
P0903,90%,zero,10,Medium , Excellent documentation 
P0904,sixty,,12months,HIGH, some missing flows
P0905,,15 ,9,HIGH,"Incomplete UC, rework happened"
P0906,,15 ,8 m,Medium , Excellent documentation 
P0907,,20,10,LOW ,Well defined use cases
P0908,,,12months,High,Well defined use cases
P0909, 45%,5 defects,8 m,LOW ,Well defined use cases
P0910,,15 ,,Medium ,"Incomplete UC, rework happened"
P0911, 70,,12months,low,"Incomplete UC, rework happened"
P0912,sixty,eight,14,,poorly written
P0913,100 ,zero,10,low, Excellent documentation 
P0914,,5 defects, eleven,,"Incomplete UC, rework happened"
P0915,N/A,20,10,High, Excellent documentation 
P0916,100 ,eight,N/A,LOW ,good but unclear alt flows
P0917, 45%,,N/A,LOW ,good but unclear alt flows
P0918, 45%,5 defects,,HIGH,Well defined use cases
P0919,,,N/A,Medium ,poorly written
P0920, 70,eight,9,High,good but unclear alt flows
P0921,,12, eleven,low,UC not reviewed
P0922,90%,eight,10,Medium ,
P0923,85,12, eleven,HIGH,poorly written
P0924,85,12,14,High,good but unclear alt flows
P0925,85,eight,12months,High,
P0926,90%,zero,12months,HIGH,"Incomplete UC, rework happened"
P0927,,eight,12months,High,
P0928, 70,,14,High,UC not reviewed
P0929, 70,, eleven,Medium ,poorly written
P0930,90%,20,N/A,HIGH,good but unclear alt flows
P0931,,15 ,14,Medium ,poorly written
P0932,sixty,15 ,,LOW ,
P0933,sixty,20,,Medium ,"Incomplete UC, rework happened"
P0934,sixty,zero,,HIGH,poorly written
P0935,85,,N/A,Medium ,
P0936,,12,14,LOW ,good but unclear alt flows
P0937, 45%,zero,12months,low, Excellent documentation 
P0938,,,14,High,poorly written
P0939,,5 defects,12months,Medium ,good but unclear alt flows
P0940,100 ,,10,LOW ,poorly written
P0941,85,,,low, Excellent documentation 
P0942,85,,10,LOW ,UC not reviewed
P0943, 70,zero,,High,
P0944, 70,15 ,12months,HIGH,Well defined use cases
P0945, 70,,9,Medium ,good but unclear alt flows
P0946,N/A,5 defects,12months,HIGH,
P0947,,15 ,8 m,LOW ,"Incomplete UC, rework happened"
P0948,100 ,5 defects,10,LOW ,
P0949,,,8 m,,
P0950,N/A,,12months,low, some missing flows
P0951, 70,5 defects,N/A,LOW ,
P0952,,20,N/A,HIGH,Well defined use cases
P0953, 45%,,14,HIGH, some missing flows
P0954,sixty,15 ,10,Medium , some missing flows
P0955,90%,,,Medium ,good but unclear alt flows
P0956, 70,20,14,High, Excellent documentation 
P0957,85,,,,UC not reviewed
P0958,85,5 defects,12months,,
P0959,,eight, eleven,low,good but unclear alt flows
P0960,N/A,5 defects,14,, Excellent documentation 
P0961,N/A,eight,N/A,Medium ,
P0962,,12,12months,low,poorly written
P0963, 45%,20,14,LOW , some missing flows
P0964,90%,15 ,14,HIGH,good but unclear alt flows
P0965,N/A,15 ,10,,poorly written
P0966,,15 ,,LOW ,
P0967,N/A,12,9,High,UC not reviewed
P0968,,eight,12months,Medium ,"Incomplete UC, rework happened"
P0969,100 ,,N/A,HIGH,
P0970,90%,5 defects,8 m,Medium ,Well defined use cases
P0971,,12,8 m,HIGH,UC not reviewed
P0972,90%,12,9,Medium , some missing flows
P0973,100 ,15 ,9,HIGH,
P0974,N/A,eight,,Medium ,poorly written
P0975,,zero, eleven,HIGH,
P0976,,,N/A,LOW ,"Incomplete UC, rework happened"
P0977,90%,eight,10,low, Excellent documentation 
P0978,90%,eight, eleven,,poorly written
P0979,100 ,5 defects,12months,Medium ,"Incomplete UC, rework happened"
P0980,,eight,8 m,High,good but unclear alt flows
P0981,N/A,eight, eleven,LOW ,"Incomplete UC, rework happened"
P0982,N/A,15 ,8 m,Medium ,UC not reviewed
P0983,N/A,20,,High,poorly written
P0984,,5 defects, eleven,LOW ,
P0985, 45%,15 ,N/A,HIGH,"Incomplete UC, rework happened"
P0986,,5 defects, eleven,HIGH, some missing flows
P0987,,12,8 m,High,
P0988,85,20,9,LOW , Excellent documentation 
P0989,sixty,20,,High, some missing flows
P0990, 45%,12,N/A,Medium ,"Incomplete UC, rework happened"
P0991, 45%,,12months,,poorly written
P0992,90%,12,N/A,Medium , some missing flows
P0993,85,eight,12months,HIGH,poorly written
P0994, 70,eight,14,, Excellent documentation 
P0995,90%,eight,14,low,poorly written
P0996,,,14,low,good but unclear alt flows
P0997,,,8 m,LOW , Excellent documentation 
P0998,85,20,12months,High, Excellent documentation 
P0999,,15 ,12months,High,UC not reviewed
P1000,85,eight,N/A,low,Well defined use cases
P1001,85,,14,low, some missing flows
P1002,,5 defects,,LOW ,
P1003,,,10,low,poorly written
P1004,sixty,eight,N/A,HIGH,UC not reviewed
P1005,sixty,zero, eleven,HIGH,Well defined use cases
P1006,90%,20,14,LOW , Excellent documentation 
P1007, 45%,12,,High,"Incomplete UC, rework happened"
P1008, 45%,12,12months,Medium , Excellent documentation 
P1009, 45%,15 , eleven,Medium , some missing flows
P1010,100 ,zero,14,, some missing flows
P1011,sixty,,N/A,HIGH,Well defined use cases
P1012,,5 defects,,HIGH,good but unclear alt flows
P1013,,12,14,,UC not reviewed
P1014,sixty,12,,Medium ,UC not reviewed
P1015,,20,8 m,,poorly written
P1016, 45%,,N/A,,UC not reviewed
P1017,85,eight,12months,low,UC not reviewed
P1018,100 ,,14,Medium ,good but unclear alt flows
P1019, 70,zero,14,, Excellent documentation 
P1020,85,eight,N/A,High,
P1021,85,20, eleven,low,Well defined use cases
P1022,90%,,9,High,
P1023,sixty,,14,low,poorly written
P1024, 45%,5 defects,N/A,low,UC not reviewed
P1025, 70,eight,,Medium , Excellent documentation 
P1026,85,zero,N/A,High,"Incomplete UC, rework happened"
P1027,N/A,5 defects,8 m,LOW , some missing flows
P1028,,,10,Medium ,"Incomplete UC, rework happened"
P1029,100 ,eight,,High,UC not reviewed
P1030, 45%,5 defects, eleven,High,"Incomplete UC, rework happened"
P1031,N/A,eight,,LOW ,Well defined use cases
P1032,,zero, eleven,LOW ,"Incomplete UC, rework happened"
P1033,,eight,8 m,, Excellent documentation 
P1034,sixty,,12months,LOW ,Well defined use cases
P1035,,zero,14,,Well defined use cases
P1036,,5 defects,9,,"Incomplete UC, rework happened"
P1037,sixty,20,10,low, some missing flows
P1038, 70,eight,N/A,LOW ,"Incomplete UC, rework happened"
P1039, 70,12,9,,Well defined use cases
P1040, 45%,15 ,9,Medium ,
P1041, 70,5 defects,10,low, Excellent documentation 
P1042,100 ,,8 m,LOW ,"Incomplete UC, rework happened"
P1043,100 ,20,12months,HIGH,
P1044,100 ,15 ,10,,
P1045,,eight, eleven,LOW ,good but unclear alt flows
P1046,90%,,8 m,low, Excellent documentation 
P1047,90%,20,12months,High, some missing flows
P1048,,12, eleven,LOW ,good but unclear alt flows
P1049,85,20,9,low,good but unclear alt flows
P1050,90%,,10,Medium ,
P1051,N/A,20,8 m,LOW ,good but unclear alt flows
P1052,,5 defects,N/A,High,Well defined use cases
P1053,100 ,,8 m,low, Excellent documentation 
P1054,85,,N/A,Medium ,poorly written
P1055, 70,5 defects,N/A,low,UC not reviewed
P1056,sixty,zero,14,High,poorly written
P1057,,15 , eleven,Medium ,Well defined use cases
P1058,sixty,eight, eleven,low,Well defined use cases
P1059,,12,14,Medium , some missing flows
P1060,85,5 defects,12months,HIGH,Well defined use cases
P1061,sixty,15 ,N/A,High,
P1062, 70,12,12months,Medium ,UC not reviewed
P1063,,,8 m,LOW ,UC not reviewed
P1064,,12,14,HIGH,UC not reviewed
P1065,sixty,20,9,,"Incomplete UC, rework happened"
P1066,100 ,15 ,10,low,poorly written
P1067,,eight,9,HIGH,Well defined use cases
P1068,90%,zero,9,High,good but unclear alt flows
P1069,,12,,low,poorly written
P1070,,15 ,8 m,High,good but unclear alt flows
P1071,85,5 defects,14,High,poorly written
P1072,,12,9,LOW ,good but unclear alt flows
P1073,90%,, eleven,HIGH, Excellent documentation 
P1074,90%,,N/A,Medium ,good but unclear alt flows
P1075,90%,5 defects,8 m,low,"Incomplete UC, rework happened"
P1076,sixty,,N/A,low,"Incomplete UC, rework happened"
P1077,85,eight,9,Medium , Excellent documentation 
P1078, 70,zero,,low,
P1079,,, eleven,HIGH,poorly written
P1080,,zero, eleven,LOW ,poorly written
P1081,,5 defects,12months,HIGH, some missing flows
P1082, 45%,5 defects,8 m,Medium ,"Incomplete UC, rework happened"
P1083,N/A,,8 m,low,UC not reviewed
P1084,90%,5 defects,,low,good but unclear alt flows
P1085,100 ,5 defects,N/A,LOW ,good but unclear alt flows
P1086,sixty,15 ,,low,
P1087,,12,,low,poorly written
P1088,sixty,zero,9,Medium ,good but unclear alt flows
P1089,100 ,zero,8 m,, Excellent documentation 
P1090,90%,, eleven,HIGH,good but unclear alt flows
P1091,,,12months,Medium ,good but unclear alt flows
P1092,N/A,zero,12months,LOW , Excellent documentation 
P1093,sixty,12,9,High,Well defined use cases
P1094,85,12,14,Medium ,
P1095,90%,15 ,,low,
P1096,90%,zero,10,Medium , some missing flows
P1097,,20, eleven,LOW , some missing flows
P1098,,20,9,,good but unclear alt flows
P1099,sixty,5 defects,8 m,low, Excellent documentation 
P1100,N/A,,14,HIGH,UC not reviewed
P1101,85,zero,12months,HIGH, some missing flows
P1102,90%,12,,Medium ,Well defined use cases
P1103, 45%,zero,14,low, some missing flows
P1104,90%,20,8 m,, Excellent documentation 
P1105, 70,eight, eleven,Medium ,
P1106, 45%,15 ,N/A,,poorly written
P1107,85,20,10,Medium , some missing flows
P1108, 70,20,9,,good but unclear alt flows
P1109,100 ,15 ,N/A,HIGH,good but unclear alt flows
P1110,N/A,eight,N/A,Medium ,"Incomplete UC, rework happened"
P1111,,12,,High, some missing flows
P1112,,eight,9,High,poorly written
P1113,85,20,14,High,good but unclear alt flows
P1114, 70,5 defects,12months,, Excellent documentation 
P1115,sixty,,N/A,low,poorly written
P1116,90%,,12months,Medium ,good but unclear alt flows
P1117,sixty,5 defects,14,LOW ,
P1118, 70,15 ,8 m,High,poorly written
P1119,sixty,,12months,Medium ,"Incomplete UC, rework happened"
P1120,,15 ,10,LOW ,
P1121,100 ,12,10,Medium ,"Incomplete UC, rework happened"
P1122,,20,9,low,UC not reviewed
P1123,90%,zero,14,Medium ,Well defined use cases
P1124,,eight, eleven,,good but unclear alt flows
P1125,90%,20, eleven,LOW ,Well defined use cases
P1126,85,,10,HIGH,poorly written
P1127,sixty,zero,N/A,HIGH,"Incomplete UC, rework happened"
P1128,,20,8 m,, some missing flows
P1129,N/A,12,12months,Medium ,good but unclear alt flows
P1130, 45%,20,,LOW ,UC not reviewed
P1131,100 ,,14,HIGH,UC not reviewed
P1132,,eight, eleven,Medium ,
P1133,sixty,zero,9,HIGH,good but unclear alt flows
P1134, 45%,12,12months,LOW ,Well defined use cases
P1135, 70,12, eleven,LOW ,UC not reviewed
P1136,sixty,,9,Medium ,
P1137, 45%,15 , eleven,low,good but unclear alt flows
P1138,90%,eight,N/A,,UC not reviewed
P1139, 70,,9,LOW ,good but unclear alt flows
P1140,sixty,eight,N/A,,
P1141,85,,,HIGH,Well defined use cases
P1142,sixty,zero,,LOW ,poorly written
P1143, 70,15 , eleven,HIGH,UC not reviewed
P1144,,15 ,,High, Excellent documentation 
P1145,N/A,15 ,10,Medium ,UC not reviewed
P1146,,12,10,, some missing flows
P1147, 45%,5 defects,N/A,low,poorly written
P1148, 45%,eight,8 m,HIGH,
P1149,90%,, eleven,low,good but unclear alt flows
P1150,100 ,12,14,HIGH,"Incomplete UC, rework happened"
P1151,,20,10,LOW , Excellent documentation 
P1152, 70,,N/A,Medium ,
P1153, 45%,20,10,low,"Incomplete UC, rework happened"
P1154,100 ,, eleven,High,good but unclear alt flows
P1155,sixty,20,,LOW ,UC not reviewed
P1156,90%,eight,9,High,
P1157,85,5 defects,8 m,HIGH,Well defined use cases
P1158,90%,20,8 m,High,poorly written
P1159,N/A,20,,HIGH, some missing flows
P1160,sixty,zero,12months,LOW , Excellent documentation 
P1161, 45%,,8 m,HIGH,UC not reviewed
P1162,sixty,15 ,8 m,High,Well defined use cases
P1163,sixty,zero,14,HIGH,"Incomplete UC, rework happened"
P1164,90%,15 ,N/A,low, some missing flows
P1165, 45%,12, eleven,Medium , Excellent documentation 
P1166,N/A,15 ,N/A,Medium , some missing flows
P1167,100 ,,,HIGH, some missing flows
P1168,sixty,15 ,9,HIGH,Well defined use cases
P1169,N/A,zero,N/A,Medium ,UC not reviewed
P1170,,20,10,HIGH,"Incomplete UC, rework happened"
P1171,sixty,5 defects, eleven,HIGH,UC not reviewed
P1172,90%,zero,14,low,good but unclear alt flows
P1173, 70,12,N/A,HIGH,good but unclear alt flows
P1174,,20,12months,low,UC not reviewed
P1175,85,eight,N/A,low,good but unclear alt flows
P1176,,zero,12months,low, Excellent documentation 
P1177,85,20,N/A,LOW ,
P1178,85,20,12months,low,Well defined use cases
P1179,85,15 ,12months,HIGH,good but unclear alt flows
P1180,90%,15 ,12months,low, Excellent documentation 
P1181,90%,12,14,High,
P1182,90%,5 defects,12months,High,poorly written
P1183,sixty,5 defects, eleven,Medium ,poorly written
P1184,100 ,15 ,12months,,Well defined use cases
P1185,100 ,5 defects,14,,UC not reviewed
P1186,sixty,eight,9,High,good but unclear alt flows
P1187,90%,eight,10,,UC not reviewed
P1188,,,10,HIGH, Excellent documentation 
P1189, 45%,zero,14,,UC not reviewed
P1190,,20, eleven,High, Excellent documentation 
P1191,,12,9,Medium ,poorly written
P1192, 45%,zero,8 m,Medium ,Well defined use cases
P1193,sixty,,12months,,good but unclear alt flows
